,0,1,2,3,4,5,6,7,8,9,10,11,12
41,24,21,20.0,19.0,15.0,10.0,11.0,12.0,3.0,4.0,5.0,6.0,
42,1,3,4.0,5.0,6.0,8.0,9.0,10.0,15.0,22.0,,,
43,7,8,16.0,10.0,9.0,5.0,4.0,11.0,12.0,13.0,,,
44,2,6,5.0,4.0,11.0,14.0,23.0,24.0,13.0,,,,
45,1,3,4.0,11.0,10.0,17.0,16.0,,,,,,
46,2,1,3.0,12.0,13.0,24.0,21.0,20.0,19.0,,,,
47,22,15,14.0,11.0,10.0,9.0,5.0,4.0,,,,,
48,11,10,15.0,14.0,23.0,22.0,20.0,18.0,7.0,,,,
49,22,20,18.0,16.0,10.0,9.0,8.0,6.0,5.0,4.0,3.0,1.0,
50,19,20,22.0,15.0,14.0,11.0,10.0,16.0,8.0,6.0,2.0,,
51,1,2,6.0,5.0,4.0,11.0,14.0,15.0,19.0,17.0,,,
52,7,18,16.0,10.0,15.0,14.0,23.0,24.0,13.0,,,,
53,22,15,10.0,16.0,8.0,,,,,,,,
54,24,21,22.0,20.0,18.0,7.0,8.0,9.0,10.0,,,,
55,7,18,20.0,21.0,24.0,13.0,12.0,11.0,4.0,3.0,,,
56,6,5,9.0,10.0,17.0,19.0,15.0,14.0,23.0,22.0,20.0,21.0,24.0
57,7,8,6.0,5.0,9.0,10.0,11.0,4.0,3.0,,,,
58,10,17,16.0,18.0,20.0,22.0,23.0,,,,,,
59,9,10,17.0,19.0,15.0,22.0,20.0,,,,,,
60,7,18,20.0,21.0,22.0,15.0,14.0,23.0,,,,,
61,5,9,8.0,16.0,17.0,19.0,20.0,22.0,23.0,24.0,21.0,,
62,1,3,12.0,11.0,14.0,23.0,24.0,21.0,20.0,22.0,,,
63,4,3,12.0,13.0,24.0,21.0,22.0,20.0,,,,,
64,7,18,20.0,19.0,15.0,14.0,11.0,4.0,3.0,12.0,,,
65,17,19,15.0,10.0,11.0,12.0,3.0,1.0,2.0,,,,
66,1,3,4.0,5.0,9.0,10.0,11.0,14.0,23.0,22.0,21.0,,
67,22,23,14.0,15.0,10.0,17.0,16.0,18.0,7.0,8.0,6.0,2.0,1.0
68,6,2,1.0,3.0,4.0,11.0,10.0,17.0,19.0,20.0,21.0,,
69,4,11,10.0,15.0,14.0,23.0,22.0,20.0,19.0,,,,
70,2,6,5.0,4.0,11.0,10.0,9.0,8.0,16.0,18.0,20.0,22.0,
71,23,22,21.0,20.0,19.0,15.0,10.0,9.0,5.0,6.0,8.0,,
72,20,21,22.0,15.0,14.0,23.0,24.0,13.0,12.0,11.0,4.0,3.0,1.0
73,16,10,9.0,5.0,4.0,11.0,12.0,,,,,,
74,7,8,16.0,10.0,17.0,19.0,15.0,14.0,11.0,12.0,3.0,,
75,24,21,20.0,18.0,16.0,10.0,9.0,,,,,,
76,21,20,22.0,23.0,14.0,11.0,4.0,5.0,6.0,2.0,1.0,,
77,3,1,2.0,6.0,5.0,9.0,10.0,,,,,,
78,7,18,20.0,21.0,22.0,23.0,,,,,,,
79,6,8,7.0,18.0,16.0,17.0,19.0,15.0,22.0,,,,
80,2,6,5.0,9.0,8.0,7.0,18.0,16.0,10.0,11.0,14.0,15.0,22.0
81,6,5,9.0,8.0,7.0,18.0,20.0,21.0,22.0,,,,
82,21,20,22.0,15.0,19.0,17.0,10.0,11.0,12.0,3.0,1.0,,
83,3,12,11.0,10.0,15.0,19.0,17.0,16.0,8.0,,,,
84,12,11,14.0,15.0,10.0,9.0,8.0,6.0,,,,,
85,22,23,14.0,15.0,19.0,20.0,21.0,24.0,13.0,12.0,3.0,1.0,
86,19,20,21.0,24.0,13.0,12.0,11.0,4.0,3.0,1.0,,,
87,7,8,16.0,18.0,20.0,22.0,15.0,10.0,11.0,,,,
88,14,23,22.0,20.0,19.0,15.0,10.0,16.0,18.0,7.0,,,
89,12,11,10.0,16.0,18.0,20.0,,,,,,,
90,13,24,23.0,14.0,15.0,10.0,9.0,5.0,6.0,8.0,7.0,,
91,24,21,22.0,20.0,19.0,15.0,10.0,16.0,,,,,
92,22,20,18.0,16.0,8.0,6.0,2.0,,,,,,
93,6,5,9.0,8.0,16.0,17.0,10.0,15.0,22.0,23.0,24.0,,
94,5,9,8.0,16.0,10.0,,,,,,,,
95,23,14,15.0,22.0,20.0,18.0,7.0,8.0,,,,,
96,22,15,14.0,11.0,10.0,9.0,5.0,6.0,2.0,,,,
97,14,11,10.0,9.0,8.0,,,,,,,,
98,12,13,24.0,23.0,14.0,15.0,19.0,20.0,22.0,,,,
99,6,8,16.0,18.0,20.0,19.0,15.0,14.0,23.0,24.0,,,
100,15,14,23.0,24.0,21.0,20.0,18.0,7.0,,,,,
101,6,5,9.0,10.0,11.0,14.0,23.0,24.0,21.0,,,,
102,8,9,10.0,17.0,19.0,15.0,14.0,23.0,22.0,21.0,24.0,,
103,15,14,23.0,22.0,20.0,18.0,7.0,8.0,6.0,2.0,,,
104,20,21,24.0,23.0,14.0,15.0,10.0,11.0,4.0,5.0,,,
105,13,24,21.0,20.0,18.0,16.0,10.0,,,,,,
106,6,8,16.0,10.0,15.0,19.0,20.0,21.0,,,,,
107,1,2,6.0,5.0,9.0,8.0,16.0,10.0,11.0,14.0,15.0,22.0,20.0
108,11,14,23.0,22.0,21.0,20.0,,,,,,,
109,21,24,23.0,14.0,15.0,10.0,9.0,5.0,,,,,
110,16,18,20.0,21.0,22.0,15.0,14.0,,,,,,
111,7,18,16.0,17.0,10.0,,,,,,,,
112,24,21,22.0,23.0,14.0,15.0,10.0,11.0,4.0,5.0,6.0,,
113,22,15,10.0,9.0,5.0,6.0,8.0,,,,,,
114,7,8,16.0,17.0,10.0,11.0,,,,,,,
115,8,16,10.0,11.0,4.0,3.0,12.0,,,,,,
116,1,2,6.0,5.0,4.0,11.0,10.0,15.0,,,,,
117,21,22,20.0,19.0,15.0,14.0,11.0,12.0,3.0,4.0,5.0,,
118,7,18,20.0,19.0,,,,,,,,,
119,20,21,22.0,23.0,14.0,15.0,10.0,9.0,5.0,,,,
120,4,11,10.0,9.0,5.0,6.0,2.0,,,,,,
121,8,16,18.0,20.0,22.0,15.0,14.0,11.0,12.0,13.0,,,
122,21,20,18.0,16.0,17.0,10.0,9.0,8.0,6.0,5.0,,,
123,21,22,15.0,10.0,16.0,8.0,6.0,5.0,9.0,,,,
124,15,10,9.0,5.0,4.0,11.0,12.0,13.0,,,,,
125,14,15,22.0,21.0,24.0,,,,,,,,
126,13,12,11.0,10.0,15.0,19.0,17.0,16.0,8.0,,,,
127,21,20,22.0,15.0,10.0,9.0,5.0,6.0,2.0,1.0,,,
128,19,20,18.0,16.0,17.0,10.0,9.0,8.0,6.0,,,,
129,24,23,14.0,15.0,22.0,21.0,20.0,18.0,7.0,8.0,9.0,,
130,1,3,12.0,11.0,10.0,15.0,14.0,23.0,22.0,21.0,20.0,,
131,1,3,4.0,5.0,9.0,10.0,11.0,14.0,23.0,22.0,20.0,19.0,
132,24,13,12.0,11.0,4.0,5.0,9.0,8.0,6.0,,,,
133,22,20,18.0,16.0,8.0,9.0,10.0,11.0,4.0,3.0,,,
134,19,15,22.0,23.0,24.0,13.0,12.0,3.0,4.0,,,,
135,24,23,14.0,15.0,10.0,16.0,17.0,19.0,20.0,18.0,7.0,8.0,6.0
136,22,21,24.0,13.0,12.0,3.0,4.0,5.0,6.0,2.0,1.0,,
137,6,2,1.0,3.0,4.0,11.0,12.0,13.0,,,,,
138,2,6,8.0,7.0,18.0,20.0,22.0,23.0,14.0,15.0,,,
139,10,17,19.0,20.0,21.0,24.0,23.0,,,,,,
140,4,3,1.0,2.0,6.0,8.0,7.0,18.0,20.0,22.0,21.0,,
141,14,23,22.0,15.0,10.0,11.0,4.0,3.0,1.0,2.0,,,
142,24,21,20.0,18.0,16.0,10.0,11.0,,,,,,
143,4,11,14.0,15.0,10.0,9.0,8.0,7.0,18.0,20.0,,,
144,5,9,8.0,16.0,10.0,17.0,19.0,15.0,22.0,21.0,20.0,,
145,14,11,10.0,17.0,19.0,20.0,,,,,,,
146,12,3,4.0,11.0,14.0,23.0,22.0,20.0,19.0,,,,
147,20,22,23.0,14.0,11.0,4.0,3.0,1.0,2.0,6.0,5.0,,
148,19,20,21.0,22.0,15.0,10.0,11.0,4.0,5.0,6.0,2.0,1.0,
149,15,19,20.0,22.0,23.0,24.0,,,,,,,
150,3,1,2.0,6.0,5.0,4.0,11.0,10.0,16.0,8.0,7.0,,
151,14,11,10.0,16.0,18.0,7.0,8.0,6.0,,,,,
152,9,8,16.0,17.0,19.0,15.0,22.0,21.0,20.0,,,,
153,2,6,5.0,9.0,10.0,16.0,18.0,20.0,19.0,15.0,14.0,,
154,13,24,21.0,22.0,23.0,14.0,11.0,4.0,5.0,,,,
155,1,3,12.0,11.0,14.0,15.0,10.0,17.0,16.0,18.0,20.0,19.0,
156,8,6,2.0,1.0,3.0,4.0,11.0,12.0,,,,,
157,5,4,3.0,12.0,11.0,10.0,16.0,18.0,20.0,22.0,21.0,,
158,2,1,3.0,4.0,5.0,9.0,8.0,16.0,10.0,,,,
159,21,20,22.0,15.0,10.0,11.0,12.0,3.0,1.0,,,,
160,24,21,22.0,23.0,14.0,11.0,12.0,3.0,1.0,,,,
161,16,10,17.0,19.0,20.0,22.0,23.0,24.0,13.0,,,,
162,15,19,17.0,10.0,9.0,5.0,6.0,2.0,,,,,
163,19,17,10.0,16.0,8.0,7.0,,,,,,,
164,22,23,14.0,15.0,19.0,17.0,16.0,10.0,9.0,8.0,6.0,2.0,
165,2,6,5.0,9.0,8.0,16.0,,,,,,,
166,24,21,22.0,20.0,19.0,15.0,10.0,9.0,8.0,6.0,,,
167,17,19,,,,,,,,,,,
168,24,13,12.0,3.0,1.0,2.0,6.0,8.0,,,,,
169,22,21,20.0,18.0,16.0,8.0,7.0,,,,,,
170,8,9,5.0,4.0,3.0,12.0,13.0,,,,,,
171,6,5,9.0,10.0,17.0,19.0,15.0,22.0,,,,,
172,24,13,12.0,3.0,4.0,11.0,10.0,9.0,5.0,6.0,,,
173,23,14,11.0,10.0,15.0,19.0,20.0,18.0,7.0,8.0,,,
174,4,5,9.0,10.0,15.0,14.0,23.0,24.0,,,,,
175,8,7,18.0,20.0,19.0,17.0,10.0,15.0,22.0,,,,
176,22,21,20.0,18.0,16.0,17.0,,,,,,,
177,22,20,19.0,17.0,10.0,11.0,12.0,3.0,4.0,5.0,6.0,,
178,10,11,12.0,13.0,24.0,21.0,,,,,,,
179,5,6,8.0,7.0,18.0,16.0,17.0,,,,,,
180,23,24,21.0,20.0,18.0,16.0,17.0,10.0,9.0,8.0,6.0,,
181,23,22,20.0,18.0,16.0,10.0,9.0,5.0,6.0,,,,
182,10,17,16.0,18.0,7.0,8.0,6.0,,,,,,
183,5,9,10.0,15.0,22.0,20.0,21.0,24.0,23.0,,,,
184,24,23,22.0,21.0,20.0,19.0,15.0,10.0,16.0,8.0,9.0,5.0,6.0
185,24,21,20.0,19.0,17.0,16.0,18.0,7.0,8.0,9.0,,,
186,1,2,6.0,5.0,4.0,11.0,14.0,15.0,10.0,16.0,17.0,19.0,20.0
187,19,17,16.0,18.0,20.0,22.0,23.0,,,,,,
188,22,20,18.0,16.0,17.0,19.0,15.0,14.0,11.0,4.0,3.0,1.0,2.0
189,24,23,14.0,15.0,10.0,11.0,4.0,5.0,9.0,8.0,6.0,,
190,12,11,14.0,15.0,19.0,17.0,16.0,18.0,7.0,,,,
191,22,15,10.0,17.0,19.0,20.0,18.0,7.0,8.0,6.0,2.0,,
192,22,23,14.0,15.0,10.0,11.0,12.0,3.0,1.0,,,,
193,14,11,4.0,5.0,9.0,,,,,,,,
194,24,13,12.0,11.0,10.0,16.0,8.0,6.0,5.0,9.0,,,
195,6,5,9.0,10.0,16.0,18.0,20.0,22.0,23.0,24.0,21.0,,
196,19,20,21.0,22.0,15.0,14.0,11.0,10.0,16.0,8.0,6.0,2.0,1.0
197,7,18,20.0,22.0,15.0,10.0,11.0,12.0,,,,,
198,2,1,3.0,12.0,11.0,10.0,15.0,19.0,17.0,,,,
199,24,23,14.0,15.0,10.0,9.0,8.0,16.0,17.0,,,,
200,22,21,24.0,13.0,12.0,11.0,10.0,17.0,16.0,8.0,6.0,,
201,17,10,15.0,22.0,21.0,,,,,,,,
202,7,18,16.0,17.0,10.0,15.0,,,,,,,
203,24,13,12.0,11.0,4.0,5.0,9.0,10.0,16.0,18.0,7.0,8.0,6.0
204,20,19,15.0,10.0,11.0,4.0,5.0,6.0,2.0,1.0,,,
205,4,11,10.0,17.0,16.0,18.0,20.0,21.0,,,,,
206,23,22,20.0,19.0,15.0,10.0,9.0,8.0,16.0,,,,
207,5,4,11.0,,,,,,,,,,
208,22,20,19.0,17.0,10.0,16.0,8.0,9.0,5.0,4.0,3.0,1.0,
209,3,1,2.0,6.0,8.0,9.0,10.0,15.0,22.0,,,,
210,17,16,10.0,15.0,14.0,11.0,4.0,5.0,6.0,2.0,1.0,,
211,2,6,8.0,7.0,18.0,20.0,19.0,17.0,10.0,15.0,14.0,,
212,7,8,16.0,17.0,19.0,20.0,21.0,24.0,23.0,14.0,,,
213,22,15,19.0,20.0,21.0,24.0,23.0,14.0,11.0,12.0,3.0,,
214,19,15,14.0,23.0,22.0,21.0,24.0,13.0,12.0,11.0,4.0,3.0,1.0
215,6,8,7.0,18.0,16.0,10.0,15.0,14.0,11.0,12.0,13.0,,
216,20,22,23.0,14.0,11.0,12.0,3.0,4.0,5.0,6.0,2.0,1.0,
217,21,20,18.0,7.0,8.0,9.0,10.0,11.0,4.0,,,,
218,1,3,4.0,11.0,14.0,15.0,22.0,20.0,19.0,17.0,,,
219,23,14,,,,,,,,,,,
220,20,19,17.0,16.0,8.0,6.0,2.0,1.0,3.0,4.0,,,
221,19,20,18.0,16.0,10.0,11.0,,,,,,,
222,4,11,12.0,13.0,24.0,23.0,22.0,21.0,20.0,,,,
223,8,9,10.0,11.0,14.0,15.0,22.0,21.0,24.0,,,,
224,9,10,15.0,,,,,,,,,,
225,24,21,20.0,22.0,15.0,19.0,17.0,10.0,11.0,4.0,5.0,6.0,
226,17,19,15.0,14.0,11.0,12.0,13.0,24.0,23.0,,,,
227,17,16,18.0,7.0,8.0,9.0,10.0,11.0,4.0,3.0,1.0,,
228,24,21,20.0,22.0,15.0,19.0,17.0,16.0,8.0,,,,
229,23,14,15.0,10.0,16.0,8.0,6.0,5.0,9.0,,,,
230,5,4,11.0,14.0,15.0,10.0,16.0,,,,,,
231,12,13,24.0,23.0,22.0,20.0,18.0,16.0,8.0,,,,
232,4,5,9.0,10.0,11.0,14.0,15.0,22.0,21.0,20.0,,,
233,2,6,5.0,4.0,11.0,14.0,15.0,10.0,16.0,17.0,19.0,20.0,22.0
234,2,6,5.0,4.0,11.0,14.0,,,,,,,
235,14,15,19.0,17.0,16.0,,,,,,,,
236,22,23,24.0,21.0,20.0,19.0,15.0,10.0,9.0,8.0,6.0,2.0,
237,16,17,10.0,15.0,22.0,20.0,21.0,24.0,,,,,
238,1,3,12.0,11.0,14.0,15.0,10.0,17.0,16.0,,,,
239,24,23,14.0,15.0,22.0,20.0,19.0,17.0,10.0,9.0,8.0,,
240,12,11,10.0,16.0,18.0,20.0,19.0,,,,,,
241,6,8,16.0,18.0,20.0,19.0,17.0,10.0,15.0,22.0,21.0,,
242,6,8,16.0,10.0,15.0,19.0,20.0,22.0,,,,,
243,10,16,18.0,7.0,,,,,,,,,
244,6,2,1.0,3.0,12.0,,,,,,,,
245,8,6,5.0,9.0,10.0,16.0,17.0,19.0,20.0,21.0,24.0,,
246,5,4,11.0,10.0,16.0,17.0,19.0,15.0,22.0,,,,
247,21,22,15.0,19.0,20.0,18.0,16.0,10.0,11.0,4.0,5.0,,
248,16,8,6.0,5.0,4.0,3.0,12.0,13.0,24.0,,,,
249,4,11,10.0,16.0,18.0,7.0,8.0,,,,,,
250,3,12,11.0,10.0,9.0,8.0,16.0,18.0,7.0,,,,
251,4,11,12.0,3.0,1.0,2.0,6.0,8.0,16.0,18.0,20.0,,
252,2,1,3.0,12.0,11.0,10.0,9.0,,,,,,
253,20,19,15.0,10.0,11.0,14.0,23.0,24.0,13.0,12.0,3.0,1.0,
254,8,9,10.0,16.0,18.0,20.0,21.0,22.0,15.0,14.0,23.0,,
255,2,6,5.0,4.0,3.0,12.0,11.0,10.0,17.0,19.0,20.0,21.0,22.0
256,19,17,16.0,10.0,11.0,12.0,3.0,1.0,,,,,
257,8,16,17.0,10.0,15.0,19.0,20.0,22.0,23.0,24.0,,,
258,21,24,13.0,12.0,3.0,4.0,11.0,10.0,9.0,,,,
259,6,8,7.0,18.0,16.0,17.0,19.0,20.0,21.0,24.0,,,
260,8,16,10.0,15.0,22.0,23.0,24.0,,,,,,
261,24,23,22.0,20.0,18.0,16.0,8.0,9.0,,,,,
262,19,17,16.0,18.0,7.0,8.0,9.0,,,,,,
263,13,24,21.0,20.0,22.0,15.0,10.0,16.0,18.0,7.0,,,
264,13,24,21.0,20.0,19.0,15.0,14.0,11.0,10.0,9.0,8.0,,
265,23,14,11.0,10.0,16.0,8.0,9.0,,,,,,
266,6,5,9.0,8.0,16.0,10.0,,,,,,,
267,1,3,4.0,11.0,14.0,15.0,10.0,17.0,16.0,8.0,7.0,18.0,20.0
268,6,5,4.0,3.0,12.0,11.0,14.0,15.0,22.0,,,,
269,1,3,4.0,5.0,6.0,8.0,9.0,10.0,15.0,22.0,20.0,,
270,24,21,20.0,22.0,15.0,10.0,17.0,,,,,,
271,3,12,11.0,10.0,15.0,22.0,23.0,,,,,,
272,24,23,14.0,15.0,22.0,20.0,19.0,17.0,10.0,9.0,5.0,6.0,
273,4,11,14.0,15.0,19.0,20.0,22.0,23.0,24.0,21.0,,,
274,4,11,10.0,16.0,8.0,7.0,18.0,20.0,,,,,
275,14,23,22.0,21.0,20.0,19.0,15.0,10.0,16.0,8.0,7.0,,
276,14,15,22.0,20.0,19.0,17.0,16.0,8.0,7.0,,,,
277,1,3,4.0,11.0,10.0,9.0,8.0,7.0,18.0,20.0,21.0,,
278,24,23,22.0,15.0,19.0,17.0,16.0,18.0,7.0,8.0,6.0,,
279,16,17,19.0,15.0,22.0,23.0,,,,,,,
280,23,24,21.0,22.0,20.0,18.0,7.0,8.0,,,,,
281,6,5,9.0,8.0,7.0,18.0,16.0,10.0,15.0,14.0,23.0,24.0,
282,7,8,9.0,10.0,17.0,19.0,20.0,21.0,22.0,23.0,14.0,,
283,1,3,12.0,11.0,4.0,5.0,9.0,10.0,16.0,17.0,,,
284,19,17,16.0,8.0,6.0,2.0,1.0,3.0,12.0,,,,
285,15,10,11.0,12.0,3.0,1.0,2.0,6.0,,,,,
286,12,13,24.0,21.0,20.0,19.0,17.0,10.0,16.0,18.0,7.0,,
287,9,8,16.0,10.0,11.0,14.0,15.0,22.0,20.0,,,,
288,1,3,4.0,5.0,9.0,8.0,7.0,18.0,20.0,21.0,22.0,15.0,19.0
289,4,11,10.0,9.0,8.0,16.0,17.0,19.0,20.0,22.0,21.0,,
290,23,22,15.0,14.0,11.0,10.0,16.0,8.0,6.0,2.0,1.0,,
291,22,20,19.0,17.0,16.0,10.0,11.0,12.0,3.0,1.0,2.0,,
292,6,5,9.0,10.0,16.0,,,,,,,,
293,22,23,24.0,21.0,20.0,18.0,16.0,10.0,9.0,5.0,6.0,2.0,1.0
294,22,15,14.0,23.0,24.0,13.0,12.0,11.0,4.0,3.0,,,
295,24,21,22.0,23.0,14.0,15.0,19.0,17.0,16.0,10.0,9.0,8.0,6.0
296,14,23,24.0,21.0,20.0,22.0,15.0,10.0,16.0,18.0,7.0,,
297,18,16,17.0,19.0,20.0,21.0,22.0,23.0,14.0,,,,
298,22,23,24.0,21.0,20.0,19.0,17.0,10.0,9.0,5.0,4.0,3.0,1.0
299,7,8,16.0,10.0,15.0,22.0,23.0,14.0,11.0,12.0,,,
300,20,18,7.0,8.0,16.0,17.0,10.0,9.0,5.0,6.0,2.0,,
301,14,11,10.0,9.0,5.0,6.0,8.0,16.0,18.0,7.0,,,
302,3,12,11.0,10.0,15.0,19.0,17.0,16.0,8.0,7.0,,,
303,13,24,23.0,22.0,15.0,10.0,17.0,16.0,8.0,6.0,,,
304,12,11,14.0,15.0,19.0,17.0,10.0,9.0,8.0,,,,
305,6,5,9.0,8.0,16.0,17.0,10.0,15.0,19.0,20.0,22.0,21.0,24.0
306,21,20,22.0,15.0,10.0,17.0,16.0,8.0,9.0,5.0,,,
307,23,22,20.0,19.0,15.0,10.0,16.0,8.0,,,,,
308,19,17,10.0,15.0,14.0,11.0,12.0,3.0,4.0,,,,
309,3,4,5.0,6.0,8.0,7.0,,,,,,,
310,1,2,6.0,5.0,4.0,3.0,12.0,13.0,24.0,21.0,20.0,22.0,
311,12,3,1.0,2.0,,,,,,,,,
312,11,4,3.0,12.0,13.0,24.0,21.0,,,,,,
313,24,23,22.0,15.0,10.0,16.0,8.0,9.0,5.0,6.0,,,
314,12,3,4.0,11.0,10.0,17.0,19.0,,,,,,
315,6,5,4.0,11.0,10.0,17.0,16.0,18.0,20.0,21.0,,,
316,22,21,20.0,18.0,16.0,10.0,11.0,4.0,5.0,6.0,2.0,1.0,
317,6,5,9.0,8.0,7.0,18.0,16.0,10.0,15.0,14.0,23.0,,
318,5,6,8.0,16.0,18.0,20.0,22.0,15.0,19.0,,,,
319,1,2,6.0,8.0,16.0,17.0,10.0,15.0,22.0,20.0,18.0,,
320,9,10,16.0,18.0,20.0,22.0,23.0,24.0,,,,,
321,20,21,22.0,15.0,19.0,17.0,16.0,10.0,9.0,5.0,4.0,,
322,16,8,9.0,10.0,15.0,,,,,,,,
323,22,20,19.0,15.0,14.0,11.0,10.0,9.0,8.0,6.0,,,
324,22,23,14.0,11.0,10.0,16.0,18.0,7.0,8.0,9.0,5.0,6.0,2.0
325,8,16,10.0,15.0,19.0,20.0,22.0,21.0,24.0,,,,
326,1,2,6.0,5.0,9.0,8.0,16.0,17.0,19.0,20.0,18.0,,
327,12,3,4.0,11.0,10.0,15.0,22.0,21.0,20.0,,,,
328,6,8,16.0,18.0,20.0,19.0,17.0,10.0,15.0,22.0,,,
329,22,21,20.0,18.0,16.0,17.0,10.0,11.0,4.0,5.0,6.0,2.0,
330,19,17,10.0,15.0,14.0,23.0,22.0,21.0,24.0,13.0,12.0,3.0,1.0
331,6,8,9.0,10.0,17.0,19.0,15.0,14.0,23.0,22.0,20.0,21.0,24.0
332,8,6,5.0,9.0,10.0,15.0,14.0,,,,,,
333,22,15,19.0,17.0,10.0,16.0,8.0,,,,,,
334,16,10,11.0,14.0,15.0,,,,,,,,
335,8,7,18.0,16.0,17.0,10.0,15.0,,,,,,
336,1,3,4.0,11.0,12.0,13.0,24.0,21.0,20.0,19.0,,,
337,9,8,6.0,2.0,1.0,3.0,12.0,13.0,,,,,
338,20,19,15.0,10.0,17.0,16.0,8.0,9.0,5.0,4.0,3.0,1.0,
339,6,5,4.0,11.0,,,,,,,,,
340,2,6,8.0,9.0,10.0,17.0,19.0,20.0,22.0,15.0,14.0,,
341,1,3,12.0,13.0,24.0,21.0,20.0,19.0,17.0,10.0,15.0,22.0,
342,8,16,10.0,15.0,14.0,23.0,24.0,13.0,12.0,,,,
343,23,14,15.0,19.0,17.0,10.0,9.0,8.0,16.0,,,,
344,21,24,23.0,22.0,15.0,14.0,11.0,12.0,3.0,4.0,5.0,,
345,15,14,23.0,24.0,13.0,12.0,11.0,4.0,5.0,6.0,2.0,,
346,6,5,4.0,11.0,10.0,17.0,19.0,20.0,22.0,15.0,14.0,23.0,24.0
347,10,15,22.0,23.0,24.0,,,,,,,,
348,23,22,20.0,19.0,15.0,10.0,16.0,8.0,6.0,2.0,1.0,,
349,22,21,24.0,13.0,12.0,11.0,10.0,9.0,5.0,6.0,,,
350,3,4,11.0,12.0,13.0,24.0,23.0,22.0,15.0,,,,
351,22,23,14.0,15.0,10.0,9.0,8.0,6.0,5.0,4.0,3.0,,
352,19,20,18.0,7.0,8.0,16.0,10.0,11.0,4.0,,,,
353,24,21,20.0,18.0,7.0,8.0,16.0,17.0,,,,,
354,21,20,22.0,15.0,10.0,11.0,4.0,,,,,,
355,24,23,22.0,15.0,14.0,11.0,10.0,9.0,8.0,,,,
356,23,24,13.0,12.0,11.0,4.0,3.0,1.0,2.0,6.0,,,
357,24,21,22.0,20.0,19.0,15.0,10.0,9.0,,,,,
358,14,11,4.0,5.0,6.0,8.0,,,,,,,
359,23,24,21.0,22.0,20.0,19.0,15.0,10.0,16.0,8.0,,,
360,7,18,20.0,21.0,22.0,23.0,14.0,15.0,,,,,
